2024-04-23 13:59:20 status installed debianutils:arm64 5.17build1
2024-04-23 13:59:20 configure mawk:arm64 1.3.4.20240123-1build1 <none>
2024-04-23 13:59:20 status unpacked mawk:arm64 1.3.4.20240123-1build1
2024-04-23 13:59:20 status half-configured mawk:arm64 1.3.4.20240123-1build1
2024-04-23 13:59:20 status installed mawk:arm64 1.3.4.20240123-1build1
2024-04-23 13:59:20 configure libdebconfclient0:arm64 0.271ubuntu3 <none>
2024-04-23 13:59:20 status unpacked libdebconfclient0:arm64 0.271ubuntu3
2024-04-23 13:59:20 status half-configured libdebconfclient0:arm64 0.271ubuntu3
2024-04-23 13:59:20 status installed libdebconfclient0:arm64 0.271ubuntu3
2024-04-23 13:59:20 configure libbz2-1.0:arm64 1.0.8-5.1 <none>
2024-04-23 13:59:20 status unpacked libbz2-1.0:arm64 1.0.8-5.1
2024-04-23 13:59:20 status half-configured libbz2-1.0:arm64 1.0.8-5.1
2024-04-23 13:59:20 status installed libbz2-1.0:arm64 1.0.8-5.1
2024-04-23 13:59:20 configure libblkid1:arm64 2.39.3-9ubuntu6 <none>
2024-04-23 13:59:20 status unpacked libblkid1:arm64 2.39.3-9ubuntu6
2024-04-23 13:59:20 status half-configured libblkid1:arm64 2.39.3-9ubuntu6
2024-04-23 13:59:20 status installed libblkid1:arm64 2.39.3-9ubuntu6
